across_within,measure,model,var,coef,pvalue,tool,pvalue_adjusted,significant,significant_robustness_firstsessiononly,significant_robustness_session1only,significant_robustness_session2only,significant_robustness_BMIweight1
across,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight + sex,avg_weight,-0.39565315949076163,0.16625767456518206,mocap,0.4392863327960774,False,False,False,False,
across,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight + sex,sex_Male,5.128739256178229,0.2097702431729532,mocap,0.4542393235624851,False,False,False,False,False
across,sitting_height,avg_mocap_sitting_height,const,30.461992781338466,0.07762933823943778,mocap,0.2980966588394411,False,False,False,False,False
across,sitting_height,avg_mocap_sitting_height,avg_mocap_sitting_height,-0.4794904870601505,0.08491852335922805,mocap,0.31761733412282694,False,False,False,False,False
across,sitting_height,avg_mocap_sitting_height + avg_BMI,const,14.977514219992523,0.3957229321766882,mocap,0.6440533798510294,False,False,False,False,False
across,sitting_height,avg_mocap_sitting_height + avg_BMI,avg_mocap_sitting_height,-0.5209984461540683,0.050279750518716367,mocap,0.22277797152908177,False,False,False,False,False
across,sitting_height,avg_mocap_sitting_height + avg_BMI,avg_BMI,0.7346880232270236,0.11992727992941793,mocap,0.39721540709534564,False,False,False,False,
across,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight,const,39.83850309863743,0.11629390428609908,mocap,0.3940311109929004,False,False,False,False,False
across,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight,avg_mocap_sitting_height,-0.8710747073213515,0.02441656669204975,mocap,0.15981752743887112,False,False,False,False,False
across,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight,avg_BMI,-0.18402424121901273,0.8054904613311009,mocap,0.8998188734124886,False,False,False,False,
across,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight,avg_weight,0.27077580524327916,0.1659098243460345,mocap,0.4392863327960774,False,False,False,False,
across,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight + sex,const,63.27893171600532,0.04806775195990738,mocap,0.2163048838195832,False,False,False,False,False
across,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight + sex,avg_mocap_sitting_height,-1.0690435578947148,0.013016087453038337,mocap,0.12092365117661423,False,False,False,False,False
